recipe-3400941506508961,b'Gespickte Lammkeule provenzalisch',0 Bewertungen - Ø 2.5,star-unb,(0),normal,40 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400941506508961/Gespickte-Lammkeule-provenzalisch.html,yes
recipe-3397521505889284,b'Maronen-Senf-Dipp',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397521505889284/Maronen-Senf-Dipp.html,yes
recipe-3403251506884443,b'Dinkel-Weizen-Vollkornbrot mit Molke und K\xe4se',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403251506884443/Dinkel-Weizen-Vollkornbrot-mit-Molke-und-Kaese.html,yes
recipe-3401561506618199,b'Dinkel-Buchweizen-Brot mit Chiasamen',1 Bewertung - Ø 3,star-3,(1),normal,10 min.,29.09.2017,http://www.chefkoch.de/rezepte/3401561506618199/Dinkel-Buchweizen-Brot-mit-Chiasamen.html,yes
recipe-3399861506269564,b'Gnocchi/Sp\xe4tzle mit Spinat und Ziegenfrischk\xe4se',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399861506269564/Gnocchi-Spaetzle-mit-Spinat-und-Ziegenfrischkaese.html,yes
recipe-3402671506794652,b'Low Carb-Brot f\xfcr Allergiker',1 Bewertung - Ø 3.33,star-3_5,(1),normal,10 min.,01.10.2017,http://www.chefkoch.de/rezepte/3402671506794652/Low-Carb-Brot-fuer-Allergiker.html,yes
recipe-3402631506791355,b'Einfacher schneller Tomatensugo',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,01.10.2017,http://www.chefkoch.de/rezepte/3402631506791355/Einfacher-schneller-Tomatensugo.html,no
recipe-3398361506008859,b'Asia-Nudeln mit Shrimps',1 Bewertung - Ø 3,star-3,(1),simpel,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398361506008859/Asia-Nudeln-mit-Shrimps.html,yes
recipe-3398871506089175,b'Nicoles Eiersalat',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,20 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398871506089175/Nicoles-Eiersalat.html,yes
recipe-3398851506087735,b'Werners Millionenboeuf',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398851506087735/Werners-Millionenboeuf.html,no
recipe-3396851505760091,b'Strammer Max trifft auf R\xf6sti',5 Bewertungen - Ø 4,star-4,(5),simpel,30 min.,25.09.2017,http://www.chefkoch.de/rezepte/3396851505760091/Strammer-Max-trifft-auf-Roesti.html,yes
recipe-3399621506241048,b'Quark-Streuselkuchen mit Himbeeren',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,25 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399621506241048/Quark-Streuselkuchen-mit-Himbeeren.html,yes
recipe-3400821506454108,b'Zweifarbige Brombeer-Mango-Konfit\xfcre',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400821506454108/Zweifarbige-Brombeer-Mango-Konfituere.html,yes
recipe-3397341505842636,b'Proteinreicher Schoko-Bananenpudding',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397341505842636/Proteinreicher-Schoko-Bananenpudding.html,yes
recipe-3403131506870946,b'Kekse mit gekochtem Eigelb',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403131506870946/Kekse-mit-gekochtem-Eigelb.html,yes
recipe-3400851506457473,b'Gulai Ayam Istimewa',0 Bewertungen - Ø 2.5,star-unb,(0),pfiffig,30 min.,29.09.2017,http://www.chefkoch.de/rezepte/3400851506457473/Gulai-Ayam-Istimewa.html,yes
recipe-3398891506089358,b'Brownies supersaftig',0 Bewertungen - Ø 2.5,star-unb,(0),normal,20 min.,28.09.2017,http://www.chefkoch.de/rezepte/3398891506089358/Brownies-supersaftig.html,yes
recipe-3400621506438631,b'Apfelsauerkraut oder Ananassauerkraut mit Schupfnudeln',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,28.09.2017,http://www.chefkoch.de/rezepte/3400621506438631/Apfelsauerkraut-oder-Ananassauerkraut-mit-Schupfnudeln.html,no
recipe-3401371506594323,b'Pilzpfanne mit Filetstreifen',0 Bewertungen - Ø 2.5,star-unb,(0),normal,15 min.,28.09.2017,http://www.chefkoch.de/rezepte/3401371506594323/Pilzpfanne-mit-Filetstreifen.html,no
recipe-3400141506334885,"b'Vegetarische Bolognese mit Tofu, wei\xdfen Riesenbohnen und roten Linsen'",1 Bewertung - Ø 3.33,star-3_5,(1),normal,15 min.,28.09.2017,http://www.chefkoch.de/rezepte/3400141506334885/Vegetarische-Bolognese-mit-Tofu-weissen-Riesenbohnen-und-roten-Linsen.html,no
recipe-3399851506268717,b'Fruchtig-scharfe Tomatensuppe',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,20 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399851506268717/Fruchtig-scharfe-Tomatensuppe.html,no
recipe-3398721506074939,b'Kartoffelauflauf mit Auberginen und Hackfleisch',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,60 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398721506074939/Kartoffelauflauf-mit-Auberginen-und-Hackfleisch.html,yes
recipe-3399841506267114,b'Feta-Creme mit griechischem Joghurt',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399841506267114/Feta-Creme-mit-griechischem-Joghurt.html,no
recipe-3398711506074715,b'Kirsch-Bananen-Shake',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398711506074715/Kirsch-Bananen-Shake.html,no
recipe-3399831506265868,b'Spaghetti-Gem\xfcse-Pfanne mit Karotten und Zucchini',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399831506265868/Spaghetti-Gemuese-Pfanne-mit-Karotten-und-Zucchini.html,no
recipe-3398691506073106,b'R\xfchreier mit Speck und W\xfcrstchen',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398691506073106/Ruehreier-mit-Speck-und-Wuerstchen.html,no
recipe-3399811506262220,"b'Gef\xfcllter Hackbraten mit Spinat, Pilzen und K\xe4se'",0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399811506262220/Gefuellter-Hackbraten-mit-Spinat-Pilzen-und-Kaese.html,no
